web-scraper-order,web-scraper-start-url,First,Last,Nickname,Height,Weight,Reach,Stance,Wins,Losses,Draws,Belt
"1627322453-13097","http://ufcstats.com/statistics/fighters?char=m&page=all","Andreas","Michailidis","The Spartan","6' 0""","185 lbs.","76.0""","Orthodox","13","4","0",""
"1627322453-12999","http://ufcstats.com/statistics/fighters?char=m&page=all","Naoki","Matsushita","","5' 6""","155 lbs.","--","Orthodox","12","16","11",""
"1627322453-13251","http://ufcstats.com/statistics/fighters?char=m&page=all","Elvis","Mutapcic","The King","6' 0""","185 lbs.","72.0""","Orthodox","15","6","1",""
"1627322453-12966","http://ufcstats.com/statistics/fighters?char=m&page=all","Jack","Marshman","The Hammer","6' 0""","185 lbs.","73.0""","Orthodox","23","10","0",""
"1627322453-13193","http://ufcstats.com/statistics/fighters?char=m&page=all","Richardson","Moreira","Rick Monstro","6' 2""","185 lbs.","--","Orthodox","7","4","0",""
"1627322453-13005","http://ufcstats.com/statistics/fighters?char=m&page=all","Vladimir","Matyushenko","The Janitor","6' 0""","205 lbs.","74.0""","Orthodox","27","8","0",""
"1627322453-13192","http://ufcstats.com/statistics/fighters?char=m&page=all","Joe","Moreira","","5' 11""","195 lbs.","--","Southpaw","2","2","0",""
"1627322453-13080","http://ufcstats.com/statistics/fighters?char=m&page=all","Augusto","Mendes","Tanquinho","5' 6""","135 lbs.","65.0""","Orthodox","6","2","0",""
"1627322453-13176","http://ufcstats.com/statistics/fighters?char=m&page=all","Nate","Moore","","6' 0""","170 lbs.","--","","8","4","0",""
"1627322453-12960","http://ufcstats.com/statistics/fighters?char=m&page=all","Cesar","Marscucci","","--","--","--","","3","2","0",""
"1627322453-12947","http://ufcstats.com/statistics/fighters?char=m&page=all","Jimi","Manuwa","Poster Boy","6' 1""","205 lbs.","79.0""","Orthodox","17","6","0",""
"1627322453-12942","http://ufcstats.com/statistics/fighters?char=m&page=all","Melvin","Manhoef","No Mercy","5' 9""","185 lbs.","--","Orthodox","30","14","1",""
"1627322453-13138","http://ufcstats.com/statistics/fighters?char=m&page=all","Danny","Mitchell","The Cheesecake Assassin","6' 2""","170 lbs.","--","Orthodox","19","9","1",""
"1627322453-13104","http://ufcstats.com/statistics/fighters?char=m&page=all","Gabriel","Miglioli","Biel","5' 8""","170 lbs.","--","","9","9","0",""
"1627322453-12987","http://ufcstats.com/statistics/fighters?char=m&page=all","Lucas","Martins","Mineiro","6' 0""","145 lbs.","72.0""","Southpaw","19","3","0",""
"1627322453-13041","http://ufcstats.com/statistics/fighters?char=m&page=all","Conor","McGregor","The Notorious","5' 9""","155 lbs.","74.0""","Southpaw","22","6","0",""
"1627322453-13186","http://ufcstats.com/statistics/fighters?char=m&page=all","Joseph","Morales","","5' 6""","125 lbs.","69.0""","Switch","9","2","0",""
"1627322453-12992","http://ufcstats.com/statistics/fighters?char=m&page=all","Jameel","Massouh","","5' 10""","145 lbs.","72.0""","Orthodox","26","9","0",""
"1627322453-13058","http://ufcstats.com/statistics/fighters?char=m&page=all","Yancy","Medeiros","","5' 10""","155 lbs.","75.0""","Orthodox","15","8","0",""
"1627322453-13175","http://ufcstats.com/statistics/fighters?char=m&page=all","Todd","Moore","","5' 9""","170 lbs.","71.0""","Southpaw","16","7","0",""
"1627322453-13052","http://ufcstats.com/statistics/fighters?char=m&page=all","Garreth","McLellan","Soldier Boy","6' 1""","185 lbs.","72.0""","Southpaw","13","6","0",""
"1627322453-13060","http://ufcstats.com/statistics/fighters?char=m&page=all","Kaline","Medeiros","The Dark Angel","5' 3""","115 lbs.","--","","8","5","0",""
"1627322453-12892","http://ufcstats.com/statistics/fighters?char=m&page=all","Clayton","MacFarlane","","--","170 lbs.","--","","4","1","0",""
"1627322453-13075","http://ufcstats.com/statistics/fighters?char=m&page=all","Marcelo","Mello","","5' 7""","170 lbs.","--","Southpaw","1","0","0",""
"1627322453-13014","http://ufcstats.com/statistics/fighters?char=m&page=all","Gina","Mazany","Danger","5' 6""","125 lbs.","68.0""","Southpaw","7","5","0",""
"1627322453-13035","http://ufcstats.com/statistics/fighters?char=m&page=all","Liam","McGeary","","6' 6""","205 lbs.","--","","12","2","0",""
"1627322453-13043","http://ufcstats.com/statistics/fighters?char=m&page=all","Antonio","McKee","Mandingo","5' 8""","155 lbs.","--","Southpaw","29","6","2",""
"1627322453-13063","http://ufcstats.com/statistics/fighters?char=m&page=all","Jason","Medina","","5' 9""","180 lbs.","--","","21","15","1",""
"1627322453-13119","http://ufcstats.com/statistics/fighters?char=m&page=all","Che","Mills","Beautiful","6' 1""","170 lbs.","76.0""","Orthodox","16","10","0",""
"1627322453-12954","http://ufcstats.com/statistics/fighters?char=m&page=all","Randa","Markos","Quiet Storm","5' 4""","115 lbs.","63.0""","Orthodox","10","12","1",""
"1627322453-13055","http://ufcstats.com/statistics/fighters?char=m&page=all","Charles","McTorry","","--","--","--","","3","0","0",""
"1627322453-12936","http://ufcstats.com/statistics/fighters?char=m&page=all","Jacob","Malkoun","Mamba","5' 9""","185 lbs.","73.0""","Orthodox","5","1","0",""
