web-scraper-order,web-scraper-start-url,First,Last,Nickname,Height,Weight,Reach,Stance,Wins,Losses,Draws,Belt
"1627323119-13647","http://ufcstats.com/statistics/fighters?char=r&page=all","Kevin","Randleman","The Monster","5' 10""","205 lbs.","--","Orthodox","17","16","0",""
"1627323119-13786","http://ufcstats.com/statistics/fighters?char=r&page=all","Aaron","Rosa","","6' 4""","205 lbs.","77.0""","Orthodox","18","6","0",""
"1627323119-13663","http://ufcstats.com/statistics/fighters?char=r&page=all","Dennis","Reed","","--","205 lbs.","--","Orthodox","45","62","1",""
"1627323119-13680","http://ufcstats.com/statistics/fighters?char=r&page=all","Marco Polo","Reyes","","5' 11""","155 lbs.","71.0""","Orthodox","8","7","0",""
"1627323119-13772","http://ufcstats.com/statistics/fighters?char=r&page=all","Marcelo","Rojo","Pitbull","5' 8""","145 lbs.","71.0""","Orthodox","16","8","0",""
"1627323119-13705","http://ufcstats.com/statistics/fighters?char=r&page=all","Jason","Riley","The Juggernaut","6' 6""","245 lbs.","--","","10","7","0",""
"1627323119-13819","http://ufcstats.com/statistics/fighters?char=r&page=all","Casey","Ryan","","--","185 lbs.","--","","7","3","0",""
"1627323119-13640","http://ufcstats.com/statistics/fighters?char=r&page=all","Amador","Ramirez","","--","135 lbs.","--","","5","4","0",""
"1627323119-13734","http://ufcstats.com/statistics/fighters?char=r&page=all","Taylor","Roberts","","5' 11""","170 lbs.","--","","3","12","0",""
"1627323119-13754","http://ufcstats.com/statistics/fighters?char=r&page=all","Paul","Rodriguez","","5' 7""","155 lbs.","--","Orthodox","10","9","2",""
"1627323119-13627","http://ufcstats.com/statistics/fighters?char=r&page=all","Benji","Radach","Razor","5' 10""","185 lbs.","--","Orthodox","21","7","0",""
"1627323119-13807","http://ufcstats.com/statistics/fighters?char=r&page=all","Jairzinho","Rozenstruik","Bigi Boy","6' 2""","242 lbs.","78.0""","Orthodox","12","2","0",""
"1627323119-13761","http://ufcstats.com/statistics/fighters?char=r&page=all","Ray","Rodriguez","The Judge","5' 7""","135 lbs.","70.0""","Orthodox","16","8","0",""
"1627323119-13729","http://ufcstats.com/statistics/fighters?char=r&page=all","Andre","Roberts","The Chief","6' 2""","345 lbs.","--","Orthodox","14","2","1",""
"1627323119-13655","http://ufcstats.com/statistics/fighters?char=r&page=all","Stevie","Ray","Braveheart","5' 10""","155 lbs.","70.0""","Southpaw","23","9","0",""
"1627323119-13808","http://ufcstats.com/statistics/fighters?char=r&page=all","Mauricio","Rua","Shogun","6' 1""","205 lbs.","76.0""","Orthodox","27","12","1",""
"1627323119-13733","http://ufcstats.com/statistics/fighters?char=r&page=all","Ryan","Roberts","","5' 6""","155 lbs.","--","Orthodox","21","12","1",""
"1627323119-13749","http://ufcstats.com/statistics/fighters?char=r&page=all","Luke","Rockhold","","6' 3""","205 lbs.","77.0""","Southpaw","16","5","0",""
"1627323119-13787","http://ufcstats.com/statistics/fighters?char=r&page=all","Charles","Rosa","Boston Strong","5' 9""","145 lbs.","69.0""","Switch","14","5","0",""
"1627323119-13702","http://ufcstats.com/statistics/fighters?char=r&page=all","Joe","Riggs","Diesel","6' 0""","185 lbs.","70.0""","Southpaw","44","17","0",""
"1627323119-13638","http://ufcstats.com/statistics/fighters?char=r&page=all","Matt","Ramirez","The Machine","5' 5""","125 lbs.","--","","2","3","0",""
"1627323119-13750","http://ufcstats.com/statistics/fighters?char=r&page=all","Kevin","Roddy","K-Rod","5' 11""","145 lbs.","--","","15","16","1",""
"1627323119-13744","http://ufcstats.com/statistics/fighters?char=r&page=all","Alvin","Robinson","","5' 9""","155 lbs.","68.0""","Southpaw","15","9","0",""
"1627323119-13716","http://ufcstats.com/statistics/fighters?char=r&page=all","Dante","Rivera","","6' 1""","185 lbs.","--","Southpaw","16","7","0",""
"1627323119-13673","http://ufcstats.com/statistics/fighters?char=r&page=all","Ben","Reiter","The Hunter","6' 3""","185 lbs.","--","","17","2","1",""
"1627323119-13762","http://ufcstats.com/statistics/fighters?char=r&page=all","Luis","Rodriguez","Lazy Boy","5' 6""","125 lbs.","65.0""","Orthodox","11","2","0",""
"1627323119-13766","http://ufcstats.com/statistics/fighters?char=r&page=all","Nick","Roehrick","","6' 2""","205 lbs.","--","Orthodox","7","1","0",""
"1627323119-13678","http://ufcstats.com/statistics/fighters?char=r&page=all","John","Renken","The Saint","6' 0""","190 lbs.","--","Orthodox","18","28","4",""
"1627323119-13631","http://ufcstats.com/statistics/fighters?char=r&page=all","Amir","Rahnavardi","","6' 0""","205 lbs.","--","Orthodox","11","10","0",""
"1627323119-13653","http://ufcstats.com/statistics/fighters?char=r&page=all","Gideon","Ray","","5' 10""","185 lbs.","--","Southpaw","17","15","1",""
"1627323119-13679","http://ufcstats.com/statistics/fighters?char=r&page=all","Herman","Renting","","6' 0""","215 lbs.","--","Switch","1","3","0",""
"1627323119-13730","http://ufcstats.com/statistics/fighters?char=r&page=all","David","Roberts","","6' 1""","170 lbs.","--","Orthodox","5","8","0",""
"1627323119-13675","http://ufcstats.com/statistics/fighters?char=r&page=all","Leigh","Remedios","Bulldog","5' 7""","155 lbs.","--","Orthodox","18","10","2",""
"1627323119-13726","http://ufcstats.com/statistics/fighters?char=r&page=all","Justin","Robbins","","5' 5""","135 lbs.","--","","14","18","1",""
"1627323119-13723","http://ufcstats.com/statistics/fighters?char=r&page=all","Nicdali","Rivera-Calanoc","The Night Queen","5' 3""","105 lbs.","--","","9","10","0",""
"1627323119-13699","http://ufcstats.com/statistics/fighters?char=r&page=all","Dave","Rickels","The Caveman","5' 11""","155 lbs.","--","","18","4","0",""
"1627323119-13758","http://ufcstats.com/statistics/fighters?char=r&page=all","Mike","Rodriguez","Slo Mike","6' 4""","205 lbs.","82.0""","Southpaw","11","6","0",""
"1627323119-13683","http://ufcstats.com/statistics/fighters?char=r&page=all","Kyle","Reyes","Boom","5' 8""","145 lbs.","--","","15","7","0",""
"1627323119-13757","http://ufcstats.com/statistics/fighters?char=r&page=all","Yair","Rodriguez","El Pantera","5' 11""","145 lbs.","71.0""","Orthodox","13","2","0",""
"1627323119-13764","http://ufcstats.com/statistics/fighters?char=r&page=all","Victor","Rodriguez","Vicious","5' 5""","125 lbs.","67.0""","Switch","7","4","0",""
"1627323119-13661","http://ufcstats.com/statistics/fighters?char=r&page=all","Greg","Rebello","Ribz","6' 0""","240 lbs.","73.0""","Southpaw","24","8","0",""
"1627323119-13810","http://ufcstats.com/statistics/fighters?char=r&page=all","Marco","Ruas","King of the Streets","6' 1""","210 lbs.","--","Orthodox","9","4","2",""
"1627323119-13814","http://ufcstats.com/statistics/fighters?char=r&page=all","Eddie","Ruiz","","5' 7""","155 lbs.","--","Orthodox","1","1","0",""
"1627323119-13688","http://ufcstats.com/statistics/fighters?char=r&page=all","Lucrezia","Ria","","5' 6""","125 lbs.","--","Orthodox","8","2","0",""
"1627323119-13809","http://ufcstats.com/statistics/fighters?char=r&page=all","Murilo","Rua","Ninja","5' 11""","185 lbs.","--","Orthodox","20","13","1",""
"1627323119-13671","http://ufcstats.com/statistics/fighters?char=r&page=all","Jason","Reinhardt","","5' 6""","135 lbs.","--","Orthodox","20","3","0",""
"1627323119-13651","http://ufcstats.com/statistics/fighters?char=r&page=all","Ed","Ratcliff","9mm","5' 10""","155 lbs.","71.0""","Orthodox","7","3","0",""
"1627323119-13684","http://ufcstats.com/statistics/fighters?char=r&page=all","Victor","Reyna","Kelevra","5' 11""","170 lbs.","74.0""","Southpaw","11","5","0",""
"1627323119-13645","http://ufcstats.com/statistics/fighters?char=r&page=all","Davi","Ramos","Tasmanian Devil","5' 6""","155 lbs.","70.0""","Orthodox","10","4","0",""
"1627323119-13660","http://ufcstats.com/statistics/fighters?char=r&page=all","Rafael","Rebello","Rafinha","5' 5""","135 lbs.","67.0""","Orthodox","9","4","0",""
"1627323119-13642","http://ufcstats.com/statistics/fighters?char=r&page=all","Ian","Rammel","","6' 0""","185 lbs.","--","","7","8","0",""
"1627323119-13736","http://ufcstats.com/statistics/fighters?char=r&page=all","Buddy","Roberts","","6' 2""","185 lbs.","--","Orthodox","12","3","0",""
"1627323119-13637","http://ufcstats.com/statistics/fighters?char=r&page=all","Hector","Ramirez","Sick Dog","6' 0""","205 lbs.","--","Orthodox","10","6","1",""
"1627323119-13781","http://ufcstats.com/statistics/fighters?char=r&page=all","Juancamilo","Ronderos","100","5' 4""","125 lbs.","--","","4","1","0",""
"1627323119-13760","http://ufcstats.com/statistics/fighters?char=r&page=all","Daniel","Rodriguez","D-Rod","6' 1""","170 lbs.","74.0""","Southpaw","15","2","0",""
"1627323119-13773","http://ufcstats.com/statistics/fighters?char=r&page=all","Shane","Roller","","5' 10""","155 lbs.","72.0""","Orthodox","11","7","0",""
"1627323119-13656","http://ufcstats.com/statistics/fighters?char=r&page=all","Keenan","Raymond","","--","165 lbs.","--","","3","3","0",""
"1627323119-13768","http://ufcstats.com/statistics/fighters?char=r&page=all","Brett","Rogers","The Grim","6' 5""","265 lbs.","81.0""","Orthodox","17","10","0",""
"1627323119-13724","http://ufcstats.com/statistics/fighters?char=r&page=all","Pedro","Rizzo","The Rock","6' 1""","241 lbs.","--","Orthodox","20","11","0",""
"1627323119-13664","http://ufcstats.com/statistics/fighters?char=r&page=all","Karl","Reed","No Worries","6' 3""","205 lbs.","78.0""","Orthodox","6","1","0",""
"1627323119-13674","http://ufcstats.com/statistics/fighters?char=r&page=all","Goran","Reljic","","6' 3""","205 lbs.","81.0""","Southpaw","15","8","0",""
"1627323119-13775","http://ufcstats.com/statistics/fighters?char=r&page=all","Tim","Roman","","6' 1""","170 lbs.","--","","3","4","0",""
