web-scraper-order,web-scraper-start-url,First,Last,Nickname,Height,Weight,Reach,Stance,Wins,Losses,Draws,Belt
"1627321962-12001","http://ufcstats.com/statistics/fighters?char=f&page=all","Don","Frye","The Predator","6' 1""","219 lbs.","--","Orthodox","20","9","1",""
"1627321962-11896","http://ufcstats.com/statistics/fighters?char=f&page=all","","null","null","null","null","null","null","null","null","null","null"
"1627321962-11962","http://ufcstats.com/statistics/fighters?char=f&page=all","Mal","Foki","Twin Tiger","5' 7""","220 lbs.","--","Orthodox","5","5","0",""
"1627321962-11982","http://ufcstats.com/statistics/fighters?char=f&page=all","Zoila","Frausto","Warrior Princess","5' 4""","135 lbs.","--","Orthodox","13","5","0",""
"1627321962-11927","http://ufcstats.com/statistics/fighters?char=f&page=all","Erisson","Ferreira da Silva","Gato","5' 7""","125 lbs.","--","","10","1","0",""
"1627321962-11953","http://ufcstats.com/statistics/fighters?char=f&page=all","AJ","Fletcher","The Ghost","5' 9""","170 lbs.","--","","7","0","0",""
"1627321962-11920","http://ufcstats.com/statistics/fighters?char=f&page=all","Tony","Ferguson","El Cucuy","5' 11""","155 lbs.","76.0""","Orthodox","26","6","0",""
"1627321962-11919","http://ufcstats.com/statistics/fighters?char=f&page=all","Rhadi","Ferguson","","5' 7""","205 lbs.","--","","3","0","0",""
"1627321962-11959","http://ufcstats.com/statistics/fighters?char=f&page=all","Cody","Floyd","","--","--","--","","2","0","0",""
"1627321962-11990","http://ufcstats.com/statistics/fighters?char=f&page=all","Patricio","Freire","Pitbull","5' 5""","145 lbs.","65.0""","","26","4","0",""
"1627321962-11916","http://ufcstats.com/statistics/fighters?char=f&page=all","Carlos","Felipe","Boi","6' 0""","245 lbs.","75.0""","Orthodox","11","1","0",""
"1627321962-11904","http://ufcstats.com/statistics/fighters?char=f&page=all","Zarah","Fairn","Infinite","5' 8""","135 lbs.","72.0""","Orthodox","6","4","0",""
"1627321962-11908","http://ufcstats.com/statistics/fighters?char=f&page=all","Brodie","Farber","","6' 1""","170 lbs.","--","Orthodox","16","7","0",""
"1627321962-12004","http://ufcstats.com/statistics/fighters?char=f&page=all","Katsuhisa","Fujii","Shamoji","6' 0""","205 lbs.","--","Orthodox","9","18","1",""
"1627321962-11915","http://ufcstats.com/statistics/fighters?char=f&page=all","Paul","Felder","The Irish Dragon","5' 11""","155 lbs.","70.0""","Orthodox","17","6","0",""
"1627321962-11948","http://ufcstats.com/statistics/fighters?char=f&page=all","Bryanna","Fissori","","5' 4""","145 lbs.","--","","2","4","0",""
"1627321962-12006","http://ufcstats.com/statistics/fighters?char=f&page=all","Kazuyuki","Fujita","Ironhead","6' 0""","235 lbs.","--","Orthodox","15","12","0",""
"1627321962-11984","http://ufcstats.com/statistics/fighters?char=f&page=all","Zane","Frazier","Nasty","6' 5""","250 lbs.","--","Orthodox","4","11","0",""
"1627321962-11995","http://ufcstats.com/statistics/fighters?char=f&page=all","Clay","French","","5' 7""","161 lbs.","--","Southpaw","19","7","0",""
"1627321962-11902","http://ufcstats.com/statistics/fighters?char=f&page=all","Ron","Faircloth","","5' 9""","205 lbs.","--","Orthodox","33","20","0",""
