web-scraper-order,web-scraper-start-url,First,Last,Nickname,Height,Weight,Reach,Stance,Wins,Losses,Draws,Belt
"1627323372-14402","http://ufcstats.com/statistics/fighters?char=v&page=all","Bojan","Velickovic","Serbian Steel","6' 0""","170 lbs.","76.0""","Southpaw","15","6","1",""
"1627323372-14385","http://ufcstats.com/statistics/fighters?char=v&page=all","Austin","Vanderford","AK-47","5' 11""","170 lbs.","--","Orthodox","4","0","0",""
"1627323372-14387","http://ufcstats.com/statistics/fighters?char=v&page=all","Paige","VanZant","12 Gauge","5' 4""","115 lbs.","65.0""","Orthodox","8","5","0",""
"1627323372-14439","http://ufcstats.com/statistics/fighters?char=v&page=all","Falaniko","Vitale","Niko","5' 10""","185 lbs.","--","Orthodox","30","11","0",""
"1627323372-14398","http://ufcstats.com/statistics/fighters?char=v&page=all","Joe","Vedepo","The Doctor","6' 0""","185 lbs.","--","Orthodox","18","9","0",""
"1627323372-14430","http://ufcstats.com/statistics/fighters?char=v&page=all","Ike","Villanueva","Hurricane","6' 1""","205 lbs.","73.0""","Orthodox","18","12","0",""
"1627323372-14372","http://ufcstats.com/statistics/fighters?char=v&page=all","Charlie","Valencia","","5' 3""","135 lbs.","64.0""","Orthodox","12","7","0",""
"1627323372-14406","http://ufcstats.com/statistics/fighters?char=v&page=all","Scott","Ventimiglia","Meant to Kill Ya","5' 11""","185 lbs.","--","","14","6","1",""
"1627323372-14380","http://ufcstats.com/statistics/fighters?char=v&page=all","Brianna","Van Buren","The Bull","5' 0""","115 lbs.","62.0""","Southpaw","9","3","0",""
"1627323372-14404","http://ufcstats.com/statistics/fighters?char=v&page=all","Luigi","Vendramini","The Italian Stallion","5' 8""","170 lbs.","73.0""","Orthodox","9","2","0",""
"1627323372-14399","http://ufcstats.com/statistics/fighters?char=v&page=all","Kelly","Velasco","Killer","5' 9""","135 lbs.","--","Orthodox","2","1","0",""
"1627323372-14368","http://ufcstats.com/statistics/fighters?char=v&page=all","","null","null","null","null","null","null","null","null","null","null"
"1627323372-14386","http://ufcstats.com/statistics/fighters?char=v&page=all","Lando","Vannata","Groovy","5' 9""","155 lbs.","71.0""","Orthodox","12","5","2",""
"1627323372-14397","http://ufcstats.com/statistics/fighters?char=v&page=all","Matt","Veach","","5' 11""","155 lbs.","--","Orthodox","17","5","0",""
"1627323372-14377","http://ufcstats.com/statistics/fighters?char=v&page=all","Isaac","Vallie-Flagg","","5' 8""","155 lbs.","70.0""","Orthodox","16","7","1",""
"1627323372-14443","http://ufcstats.com/statistics/fighters?char=v&page=all","Alexander","Volkov","Drago","6' 7""","250 lbs.","80.0""","Orthodox","33","9","0",""
"1627323372-14416","http://ufcstats.com/statistics/fighters?char=v&page=all","Marvin","Vettori","The Italian Dream","6' 0""","185 lbs.","74.0""","Southpaw","17","5","1",""
"1627323372-14373","http://ufcstats.com/statistics/fighters?char=v&page=all","Victor","Valenzuela","Joe Boxer","5' 10""","155 lbs.","--","","13","6","2",""
"1627323372-14440","http://ufcstats.com/statistics/fighters?char=v&page=all","Bobby","Voelker","Vicious","6' 0""","170 lbs.","74.0""","Orthodox","19","13","0",""
"1627323372-14403","http://ufcstats.com/statistics/fighters?char=v&page=all","Karlos","Vemola","","6' 0""","185 lbs.","75.0""","Orthodox","17","5","0",""
"1627323372-14393","http://ufcstats.com/statistics/fighters?char=v&page=all","Billy","Vaughan","","5' 6""","155 lbs.","--","","12","17","0",""
"1627323372-14434","http://ufcstats.com/statistics/fighters?char=v&page=all","Joey","Villasenor","Smokin' Joe","6' 0""","185 lbs.","--","Orthodox","29","10","0",""
