web-scraper-order,web-scraper-start-url,First,Last,Nickname,Height,Weight,Reach,Stance,Wins,Losses,Draws,Belt
"1627322015-12069","http://ufcstats.com/statistics/fighters?char=g&page=all","Derek","Getzel","The Pretzel","6' 0""","155 lbs.","--","","8","5","0",""
"1627322015-12100","http://ufcstats.com/statistics/fighters?char=g&page=all","Ricky","Glenn","The Gladiator","6' 0""","145 lbs.","70.0""","Southpaw","22","6","1",""
"1627322015-12218","http://ufcstats.com/statistics/fighters?char=g&page=all","Horacio","Gutierrez","The Punisher","5' 10""","145 lbs.","--","","4","3","0",""
"1627322015-12122","http://ufcstats.com/statistics/fighters?char=g&page=all","Justin","Gonzales","J-Train","5' 9""","145 lbs.","72.0""","Orthodox","6","0","0",""
"1627322015-12032","http://ufcstats.com/statistics/fighters?char=g&page=all","Eric","Galvan","","--","155 lbs.","--","","0","0","0",""
"1627322015-12216","http://ufcstats.com/statistics/fighters?char=g&page=all","Alexander","Gustafsson","The Mauler","6' 5""","205 lbs.","79.0""","Orthodox","18","7","0",""
"1627322015-12084","http://ufcstats.com/statistics/fighters?char=g&page=all","Joey","Gilbert","","5' 11""","155 lbs.","--","Orthodox","2","3","0",""
"1627322015-12110","http://ufcstats.com/statistics/fighters?char=g&page=all","Frank","Gomez","","5' 10""","135 lbs.","67.0""","Orthodox","10","6","0",""
"1627322015-12041","http://ufcstats.com/statistics/fighters?char=g&page=all","Ciryl","Gane","Bon Gamin","6' 4""","245 lbs.","81.0""","Orthodox","9","0","0",""
"1627322015-12081","http://ufcstats.com/statistics/fighters?char=g&page=all","Kenny","Giddens","","5' 11""","155 lbs.","--","","12","7","0",""
"1627322015-12082","http://ufcstats.com/statistics/fighters?char=g&page=all","Thomas","Gifford","The Young Lion","6' 1""","155 lbs.","75.0""","Orthodox","14","9","0",""
"1627322015-12036","http://ufcstats.com/statistics/fighters?char=g&page=all","Joey","Gambino","The Raging Warrior","5' 7""","145 lbs.","--","Orthodox","9","2","0",""
"1627322015-12184","http://ufcstats.com/statistics/fighters?char=g&page=all","Matt","Grice","The Real One","5' 8""","145 lbs.","70.0""","Orthodox","15","5","0",""
"1627322015-12142","http://ufcstats.com/statistics/fighters?char=g&page=all","Tim","Gorman","The Psycho","5' 5""","135 lbs.","--","Southpaw","9","4","0",""
"1627322015-12077","http://ufcstats.com/statistics/fighters?char=g&page=all","Lance","Gibson","Fearless","5' 9""","185 lbs.","--","Orthodox","4","5","0",""
"1627322015-12085","http://ufcstats.com/statistics/fighters?char=g&page=all","Trevin","Giles","","6' 0""","185 lbs.","74.0""","Orthodox","14","3","0",""
"1627322015-12037","http://ufcstats.com/statistics/fighters?char=g&page=all","Manvel","Gamburyan","The Anvil","5' 5""","135 lbs.","67.0""","Orthodox","15","10","0",""
"1627322015-12156","http://ufcstats.com/statistics/fighters?char=g&page=all","Rickson","Gracie","","5' 10""","185 lbs.","--","Switch","11","0","0",""
"1627322015-12152","http://ufcstats.com/statistics/fighters?char=g&page=all","Crosley","Gracie","","5' 9""","190 lbs.","--","Orthodox","2","2","0",""
"1627322015-12155","http://ufcstats.com/statistics/fighters?char=g&page=all","Renzo","Gracie","","5' 10""","185 lbs.","--","Orthodox","13","7","1",""
"1627322015-12053","http://ufcstats.com/statistics/fighters?char=g&page=all","Fernie","Garcia","","5' 7""","135 lbs.","--","","9","1","0",""
"1627322015-12132","http://ufcstats.com/statistics/fighters?char=g&page=all","Lyman","Good","Cyborg","6' 0""","170 lbs.","74.0""","Orthodox","21","6","0",""
"1627322015-12204","http://ufcstats.com/statistics/fighters?char=g&page=all","Clay","Guida","The Carpenter","5' 7""","155 lbs.","70.0""","Orthodox","36","17","0",""
"1627322015-12038","http://ufcstats.com/statistics/fighters?char=g&page=all","Mateusz","Gamrot","Gamer","5' 10""","155 lbs.","70.0""","Southpaw","19","1","0",""
"1627322015-12161","http://ufcstats.com/statistics/fighters?char=g&page=all","Rolles","Gracie","","6' 4""","242 lbs.","--","Orthodox","8","4","0",""
"1627322015-12205","http://ufcstats.com/statistics/fighters?char=g&page=all","Jason","Guida","","5' 10""","214 lbs.","--","","19","28","0",""
"1627322015-12214","http://ufcstats.com/statistics/fighters?char=g&page=all","Fabio","Gurgel","","6' 0""","205 lbs.","--","Orthodox","3","2","0",""
"1627322015-12186","http://ufcstats.com/statistics/fighters?char=g&page=all","Tyson","Griffin","","5' 6""","145 lbs.","68.0""","Orthodox","16","8","0",""
"1627322015-12043","http://ufcstats.com/statistics/fighters?char=g&page=all","Eduardo","Garagorri","","5' 9""","145 lbs.","70.0""","Orthodox","13","2","0",""
"1627322015-12136","http://ufcstats.com/statistics/fighters?char=g&page=all","Gerard","Gordeau","","6' 5""","216 lbs.","--","Orthodox","2","2","0",""
"1627322015-12103","http://ufcstats.com/statistics/fighters?char=g&page=all","Loopy","Godinez","","5' 2""","115 lbs.","61.0""","Orthodox","5","1","0",""
"1627322015-12178","http://ufcstats.com/statistics/fighters?char=g&page=all","Kevin","Gray","Pocket Herc","5' 4""","125 lbs.","67.0""","Orthodox","9","4","0",""
"1627322015-12060","http://ufcstats.com/statistics/fighters?char=g&page=all","Kelvin","Gastelum","","5' 9""","185 lbs.","71.0""","Southpaw","17","7","0",""
"1627322015-12093","http://ufcstats.com/statistics/fighters?char=g&page=all","Demetrius","Gioulacos","","5' 11""","185 lbs.","--","","0","1","0",""
"1627322015-12129","http://ufcstats.com/statistics/fighters?char=g&page=all","Jorge","Gonzalez","Street","6' 2""","205 lbs.","76.0""","Orthodox","16","4","0",""
"1627322015-12174","http://ufcstats.com/statistics/fighters?char=g&page=all","Tony","Gravely","","5' 5""","135 lbs.","69.0""","Orthodox","21","6","0",""
"1627322015-12195","http://ufcstats.com/statistics/fighters?char=g&page=all","Kendall","Grove","Da Spyder","6' 6""","185 lbs.","79.0""","Orthodox","23","17","0",""
"1627322015-12154","http://ufcstats.com/statistics/fighters?char=g&page=all","Ralph","Gracie","","5' 9""","183 lbs.","--","Orthodox","6","1","0",""
"1627322015-12143","http://ufcstats.com/statistics/fighters?char=g&page=all","Chase","Gormley","","6' 3""","265 lbs.","--","Orthodox","14","6","0",""
"1627322015-12163","http://ufcstats.com/statistics/fighters?char=g&page=all","Roger","Gracie","","6' 4""","185 lbs.","79.0""","Orthodox","8","2","0",""
"1627322015-12196","http://ufcstats.com/statistics/fighters?char=g&page=all","Neil","Grove","Goliath","6' 6""","265 lbs.","--","Orthodox","12","8","1",""
"1627322015-12188","http://ufcstats.com/statistics/fighters?char=g&page=all","Jordan","Griffin","Native Psycho","5' 10""","145 lbs.","73.0""","Southpaw","18","9","0",""
"1627322015-12028","http://ufcstats.com/statistics/fighters?char=g&page=all","Mickey","Gall","","6' 2""","170 lbs.","74.0""","Switch","7","3","0",""
"1627322015-12034","http://ufcstats.com/statistics/fighters?char=g&page=all","Marcos","Galvao","Loro","5' 7""","135 lbs.","--","Orthodox","18","8","1",""
"1627322015-12138","http://ufcstats.com/statistics/fighters?char=g&page=all","Jared","Gordon","Flash","5' 9""","145 lbs.","68.0""","Orthodox","17","4","0",""
