web-scraper-order,web-scraper-start-url,First,Last,Nickname,Height,Weight,Reach,Stance,Wins,Losses,Draws,Belt
"1627323416-14565","http://ufcstats.com/statistics/fighters?char=w&page=all","Justin","Wren","The Viking","6' 2""","265 lbs.","--","Orthodox","13","2","0",""
"1627323416-14540","http://ufcstats.com/statistics/fighters?char=w&page=all","Justin","Willis","Big Pretty","6' 1""","264 lbs.","78.0""","Southpaw","8","2","0",""
"1627323416-14505","http://ufcstats.com/statistics/fighters?char=w&page=all","Mike","Wessel","Juggernaut","6' 0""","260 lbs.","--","Orthodox","15","8","0",""
"1627323416-14554","http://ufcstats.com/statistics/fighters?char=w&page=all","Danyelle","Wolf","","5' 11""","145 lbs.","70.0""","Orthodox","1","0","0",""
"1627323416-14563","http://ufcstats.com/statistics/fighters?char=w&page=all","Khama","Worthy","The Death Star","5' 11""","155 lbs.","74.0""","Orthodox","16","8","0",""
"1627323416-14547","http://ufcstats.com/statistics/fighters?char=w&page=all","Deron","Winn","","5' 6""","185 lbs.","70.0""","Orthodox","7","2","0",""
"1627323416-14531","http://ufcstats.com/statistics/fighters?char=w&page=all","Pete","Williams","El Duro","6' 3""","235 lbs.","--","Orthodox","12","6","0",""
"1627323416-14523","http://ufcstats.com/statistics/fighters?char=w&page=all","Jonathan","Wiezorek","","6' 3""","250 lbs.","--","Southpaw","11","2","0",""
"1627323416-14488","http://ufcstats.com/statistics/fighters?char=w&page=all","Blake","Watkins","","--","185 lbs.","--","","5","1","0",""
"1627323416-14497","http://ufcstats.com/statistics/fighters?char=w&page=all","Royston","Wee","","5' 7""","135 lbs.","67.0""","Orthodox","4","1","0",""
"1627323416-14524","http://ufcstats.com/statistics/fighters?char=w&page=all","Justin","Wilcox","Silverback","5' 6""","155 lbs.","--","Orthodox","14","7","0",""
"1627323416-14556","http://ufcstats.com/statistics/fighters?char=w&page=all","Xue Do","Won","","5' 7""","165 lbs.","--","","0","1","0",""
"1627323416-14513","http://ufcstats.com/statistics/fighters?char=w&page=all","Craig","White","The Thundercat","6' 2""","170 lbs.","76.0""","Orthodox","14","9","0",""
"1627323416-14532","http://ufcstats.com/statistics/fighters?char=w&page=all","Rubin","Williams","Mr. Hollywood","6' 1""","185 lbs.","--","Orthodox","0","1","0",""
"1627323416-14557","http://ufcstats.com/statistics/fighters?char=w&page=all","Nathaniel","Wood","The Prospect","5' 6""","140 lbs.","69.0""","Orthodox","17","5","0",""
"1627323416-14514","http://ufcstats.com/statistics/fighters?char=w&page=all","Patrik","White","","5' 10""","155 lbs.","--","","8","0","0",""
"1627323416-14501","http://ufcstats.com/statistics/fighters?char=w&page=all","Mark","Weir","The Wizard","6' 2""","185 lbs.","--","Southpaw","21","18","1",""
"1627323416-14457","http://ufcstats.com/statistics/fighters?char=w&page=all","Johnny","Walker","","6' 6""","205 lbs.","82.0""","Orthodox","18","5","0",""
"1627323416-14495","http://ufcstats.com/statistics/fighters?char=w&page=all","Jonavin","Webb","The Spyder","5' 10""","170 lbs.","--","Orthodox","9","2","0",""
"1627323416-14468","http://ufcstats.com/statistics/fighters?char=w&page=all","Erick","Wanderlei","","6' 1""","205 lbs.","--","Orthodox","3","3","0",""
